Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Taskk,Chrome 126.0.0.0,,,03-07-2024 16:27:59,03-07-2024 16:28:44,44.919s,PASSED
,,,,,,,
Test Cases/Login/Log,Chrome 126.0.0.0,,,03-07-2024 16:27:59,03-07-2024 16:28:38,38.599s,PASSED
"aurl = ""https://gpstqa-new.dipostar.org/dipo/""",Chrome 126.0.0.0,,,03-07-2024 16:28:00,03-07-2024 16:28:00,0.009s,PASSED
openBrowser(aurl),Chrome 126.0.0.0,,,03-07-2024 16:28:00,03-07-2024 16:28:10,10.288s,PASSED
maximizeWindow(),Chrome 126.0.0.0,,,03-07-2024 16:28:10,03-07-2024 16:28:10,0.100s,PASSED
delay(3),Chrome 126.0.0.0,,,03-07-2024 16:28:10,03-07-2024 16:28:13,3.086s,PASSED
"b = ""Home page/username""",Chrome 126.0.0.0,,,03-07-2024 16:28:13,03-07-2024 16:28:13,0.006s,PASSED
"setText(findTestObject(b), ""aldo"")",Chrome 126.0.0.0,,,03-07-2024 16:28:13,03-07-2024 16:28:14,0.911s,PASSED
delay(3),Chrome 126.0.0.0,,,03-07-2024 16:28:14,03-07-2024 16:28:17,3.011s,PASSED
"c = ""Home page/Passw""",Chrome 126.0.0.0,,,03-07-2024 16:28:17,03-07-2024 16:28:17,0.007s,PASSED
"setEncryptedText(findTestObject(c), ""TRrAuhBZTmGN3YbeoZ5Gng=="")",Chrome 126.0.0.0,,,03-07-2024 16:28:17,03-07-2024 16:28:18,0.497s,PASSED
delay(3),Chrome 126.0.0.0,,,03-07-2024 16:28:18,03-07-2024 16:28:21,3.010s,PASSED
"click(findTestObject(""Home page/Buton login""))",Chrome 126.0.0.0,,,03-07-2024 16:28:21,03-07-2024 16:28:21,0.409s,PASSED
"takeScreenshotAsCheckpoint(""login berhasil"", STOP_ON_FAILURE)",Chrome 126.0.0.0,,,03-07-2024 16:28:21,03-07-2024 16:28:38,16.636s,PASSED
,,,,,,,
Test Cases/Task/Upload excell,Chrome 126.0.0.0,,,03-07-2024 16:28:38,03-07-2024 16:28:44,5.975s,PASSED
"click(findTestObject(""Menu/Taskk""))",Chrome 126.0.0.0,,,03-07-2024 16:28:38,03-07-2024 16:28:38,0.436s,PASSED
"click(findTestObject(""Upload Excel/Button upload excel""))",Chrome 126.0.0.0,,,03-07-2024 16:28:38,03-07-2024 16:28:39,0.629s,PASSED
"takeScreenshotAsCheckpoint(""menampilkan halam"")",Chrome 126.0.0.0,,,03-07-2024 16:28:39,03-07-2024 16:28:44,4.760s,PASSED
