Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
User prof change pass,Chrome 126.0.0.0,,,09-07-2024 14:22:02,09-07-2024 14:22:46,43.858s,PASSED
,,,,,,,
Test Cases/Login/Log,Chrome 126.0.0.0,,,09-07-2024 14:22:02,09-07-2024 14:22:37,34.606s,PASSED
"url = ""https://gpstqa-new.dipostar.org/dipo/""",Chrome 126.0.0.0,,,09-07-2024 14:22:02,09-07-2024 14:22:02,0.003s,PASSED
openBrowser(url),Chrome 126.0.0.0,,,09-07-2024 14:22:02,09-07-2024 14:22:13,10.667s,PASSED
maximizeWindow(),Chrome 126.0.0.0,,,09-07-2024 14:22:13,09-07-2024 14:22:13,0.052s,PASSED
delay(3),Chrome 126.0.0.0,,,09-07-2024 14:22:13,09-07-2024 14:22:16,3.049s,PASSED
"username = ""Home page/username""",Chrome 126.0.0.0,,,09-07-2024 14:22:16,09-07-2024 14:22:16,0.002s,PASSED
"setText(findTestObject(username), ""aldo"")",Chrome 126.0.0.0,,,09-07-2024 14:22:16,09-07-2024 14:22:17,0.686s,PASSED
delay(3),Chrome 126.0.0.0,,,09-07-2024 14:22:17,09-07-2024 14:22:20,3.010s,PASSED
"password = ""Home page/Passw""",Chrome 126.0.0.0,,,09-07-2024 14:22:20,09-07-2024 14:22:20,0.002s,PASSED
"setText(findTestObject(password), ""indocyber"")",Chrome 126.0.0.0,,,09-07-2024 14:22:20,09-07-2024 14:22:20,0.616s,PASSED
"click(findTestObject(""Home page/Buton login""))",Chrome 126.0.0.0,,,09-07-2024 14:22:20,09-07-2024 14:22:21,0.306s,PASSED
"takeScreenshotAsCheckpoint(""login berhasil"")",Chrome 126.0.0.0,,,09-07-2024 14:22:21,09-07-2024 14:22:37,15.892s,PASSED
,,,,,,,
Test Cases/User profile/Change passw,Chrome 126.0.0.0,,,09-07-2024 14:22:37,09-07-2024 14:22:46,9.101s,PASSED
"click(findTestObject(""Change pass/Button change password""))",Chrome 126.0.0.0,,,09-07-2024 14:22:37,09-07-2024 14:22:37,0.319s,PASSED
"takeScreenshotAsCheckpoint(""menampilkan pergantian pass"")",Chrome 126.0.0.0,,,09-07-2024 14:22:37,09-07-2024 14:22:42,4.769s,PASSED
"setText(findTestObject(""Change pass/Text Old pass""), ""indocyber"")",Chrome 126.0.0.0,,,09-07-2024 14:22:42,09-07-2024 14:22:42,0.664s,PASSED
"setText(findTestObject(""Change pass/Text new pass""), ""Indocyber"")",Chrome 126.0.0.0,,,09-07-2024 14:22:42,09-07-2024 14:22:43,0.622s,PASSED
"setText(findTestObject(""Change pass/Text confirm new pass""), ""Indocyber"")",Chrome 126.0.0.0,,,09-07-2024 14:22:43,09-07-2024 14:22:44,0.636s,PASSED
"click(findTestObject(""Change pass/Button closed""))",Chrome 126.0.0.0,,,09-07-2024 14:22:44,09-07-2024 14:22:44,0.312s,PASSED
"takeScreenshotAsCheckpoint(""kembali ke halaman change pass"")",Chrome 126.0.0.0,,,09-07-2024 14:22:44,09-07-2024 14:22:46,1.709s,PASSED
